date_str	all_ccpi	all_ccpi_change_month_to_month	all_inflation_year_to_year	all_inflation_12_month_moving_average	food_ccpi	food_ccpi_change_month_to_month	food_inflation_year_to_year	food_inflation_12_month_moving_average	non_food_ccpi	non_food_ccpi_change_month_to_month	non_food_inflation_year_to_year	non_food_inflation_12_month_moving_average
2022-01-01	124.3				150.0				115.2			
2022-02-01	125.8	0.012			152.0	0.013			116.5	0.011		
2022-03-01	129.7	0.031			155.2	0.021			120.6	0.035		
2022-04-01	142.1	0.096			175.2	0.129			130.3	0.08		
2022-05-01	153.6	0.081			191.6	0.094			140.1	0.075		
2022-06-01	171.7	0.118			226.4	0.182			152.2	0.086		
2022-07-01	178.9	0.042			239.2	0.057			157.4	0.034		
2022-08-01	182.8	0.022			244.6	0.023			160.9	0.022		
2022-09-01	189.3	0.036			246.9	0.009			168.8	0.049		
2022-10-01	188.5	-0.004			242.2	-0.019			169.5	0.004		
2022-11-01	187.1	-0.007			238.9	-0.014			168.7	-0.005		
2022-12-01	187.6	0.003			238.2	-0.003			169.6	0.005		
2023-01-01	188.6	0.005			240.0	0.008			170.4	0.005		
2023-02-01	189.5	0.005	0.506		234.7	-0.022	0.544		173.4	0.018	0.488	
2023-03-01	195.0	0.029	0.503		229.0	-0.024	0.476		183.0	0.055	0.517	
2023-04-01	192.3	-0.014	0.353		228.8	-0.001	0.306		179.3	-0.02	0.376	
2023-05-01	192.3	0.0	0.252		232.7	0.017	0.215		177.9	-0.008	0.27	
2023-06-01	192.3	0.0	0.12		235.7	0.013	0.041		176.9	-0.006	0.162	
2023-07-01	190.2	-0.011	0.063		235.8	0.0	-0.014		173.9	-0.017	0.105	
2023-08-01	190.1	-0.001	0.04		232.8	-0.013	-0.048		174.9	0.006	0.087	
2023-09-01	191.8	0.009	0.013		234.1	0.006	-0.052		176.7	0.01	0.047	
2023-10-01	191.4	-0.002	0.015		229.5	-0.02	-0.052		177.8	0.006	0.049	
2023-11-01	193.4	0.01	0.034		230.3	0.003	-0.036		180.2	0.013	0.068	
2023-12-01	195.1	0.009	0.04	0.174	238.9	0.037	0.003	0.121	179.5	-0.004	0.058	0.2
2024-01-01	200.7	0.029	0.064	0.142	247.9	0.038	0.033	0.085	183.9	0.025	0.079	0.171
2024-02-01	200.6	0.0	0.059	0.113	242.8	-0.021	0.035	0.054	185.6	0.009	0.07	0.142
2024-03-01	196.7	-0.019	0.009	0.08	237.8	-0.021	0.038	0.029	182.1	-0.019	-0.005	0.105
2024-04-01	195.2	-0.008	0.015	0.057	235.4	-0.01	0.029	0.012	180.9	-0.007	0.009	0.079
2024-05-01	194.1	-0.006	0.009	0.039	232.6	-0.012	0.0	-0.003	180.3	-0.003	0.013	0.06
2024-06-01	195.6	0.008	0.017	0.031	239.1	0.028	0.014	-0.005	180.1	-0.001	0.018	0.049
2024-07-01	194.7	-0.005	0.024	0.028	239.4	0.001	0.015	-0.002	178.8	-0.007	0.028	0.043
2024-08-01	191.1	-0.018	0.005	0.025	234.6	-0.02	0.008	0.002	175.6	-0.018	0.004	0.036
2024-09-01	190.9	-0.001	-0.005	0.024	233.3	-0.006	-0.003	0.007	175.8	0.001	-0.005	0.032
2024-10-01	189.9	-0.005	-0.008	0.022	231.9	-0.006	0.01	0.012	174.9	-0.005	-0.016	0.026
2024-11-01	189.4	-0.003	-0.021	0.017	231.7	-0.001	0.006	0.016	174.3	-0.003	-0.033	0.018
2024-12-01	191.7	0.012	-0.017	0.012	240.7	0.039	0.008	0.016	174.2	-0.001	-0.03	0.011
2025-01-01	192.6	0.005	-0.04	0.004	241.5	0.003	-0.026	0.011	175.2	0.006	-0.047	0.0
2025-02-01	192.2	-0.002	-0.042	-0.005	242.3	0.003	-0.002	0.008	174.3	-0.005	-0.061	-0.011
2025-03-01	191.6	-0.003	-0.026	-0.008	239.2	-0.013	0.006	0.005	174.6	0.002	-0.041	-0.014
2025-04-01	191.2	-0.002	-0.02	-0.011	238.4	-0.003	0.013	0.004	174.4	-0.001	-0.036	-0.018
2025-05-01	192.8	0.008	-0.007	-0.012	244.8	0.027	0.052	0.008	174.3	-0.001	-0.033	-0.021
2025-06-01	194.5	0.009	-0.006	-0.014	249.3	0.018	0.043	0.011	175.0	0.004	-0.028	-0.025
2025-07-01	194.1	-0.002	-0.003	-0.016	243.0	-0.025	0.015	0.011	176.7	0.01	-0.012	-0.028
2025-08-01	193.3	-0.004	0.012	-0.015	239.4	-0.015	0.02	0.012	177.0	0.002	0.008	-0.028
2025-09-01	193.7	0.002	0.015	-0.014	240.1	0.003	0.029	0.014	177.1	0.001	0.007	-0.027
2025-10-01	193.8	0.001	0.021	-0.012	240.0	0.0	0.035	0.016	177.4	0.002	0.014	-0.025
2025-11-01	193.4	-0.002	0.021	-0.008	238.6	-0.006	0.03	0.018	177.3	-0.001	0.017	-0.021
2025-12-01	195.8	0.012	0.021	-0.005	247.9	0.039	0.03	0.02	177.3	0.0	0.018	-0.017
2026-01-01	197.0	0.006	0.023	0.0	249.4	0.006	0.033	0.025	178.3	0.006	0.018	-0.011
2026-02-01	195.3	-0.009	0.016	0.005	242.9	-0.026	0.002	0.026	178.3	0.0	0.023	-0.004
2026-03-01	195.8	0.003	0.022	0.009	240.9	-0.008	0.007	0.026	179.7	0.008	0.029	0.002
2026-04-01	201.6	0.03	0.054	0.016	245.1	0.017	0.028	0.027	186.2	0.036	0.068	0.01
2026-05-01	203.4	0.009	0.055	0.021	247.1	0.008	0.009	0.023	187.9	0.009	0.078	0.02
2026-06-01	207.7	0.021	0.068	0.027	258.2	0.045	0.036	0.023	189.7	0.01	0.084	0.029
